timestamp,temp_c,ph,tds_ppm,turbidity_ntu,orp_mV,lux,aerator_on,pump_on,hour,is_daylight,ph_roll_mean,ntu_roll_mean,orp_roll_mean,label
2025-10-18T13:00:00,0.45,0.67,0.31,0.28,0.63,0.72,1,1,13,1,0.66,0.27,0.64,GOOD
2025-10-18T13:00:02,0.47,0.68,0.30,0.26,0.61,0.75,1,1,13,1,0.67,0.28,0.63,GOOD
2025-10-18T13:00:04,0.46,0.70,0.29,0.27,0.65,0.77,1,1,13,1,0.68,0.27,0.64,GOOD
2025-10-18T13:00:06,0.44,0.71,0.32,0.29,0.67,0.79,1,1,13,1,0.69,0.28,0.65,GOOD
2025-10-18T13:00:08,0.48,0.69,0.30,0.28,0.64,0.80,1,1,13,1,0.68,0.27,0.64,GOOD
2025-10-18T13:00:10,0.46,0.72,0.29,0.27,0.66,0.83,1,1,13,1,0.70,0.28,0.66,GOOD
2025-10-18T13:00:12,0.47,0.71,0.31,0.29,0.65,0.81,1,1,13,1,0.69,0.27,0.65,GOOD
2025-10-18T13:00:14,0.46,0.69,0.32,0.31,0.63,0.79,1,1,13,1,0.68,0.29,0.64,GOOD
2025-10-18T13:00:16,0.44,0.68,0.30,0.33,0.60,0.78,1,1,13,1,0.67,0.30,0.63,GOOD
2025-10-18T13:00:18,0.43,0.67,0.31,0.35,0.58,0.77,1,1,13,1,0.66,0.31,0.62,GOOD
