timestamp,temp_c,ph,tds_ppm,turbidity_ntu,orp_mV,lux,aerator_on,pump_on,hour,is_daylight,label
2025-10-18T08:11:00,29.2,7.98,638.9,11.57,340.6,7648.8,1,1,8,1,GOOD
2025-10-18T08:11:02,29.63,8.12,571.8,8.63,331.5,7301.4,1,1,8,1,GOOD
2025-10-18T08:11:04,29.1,7.71,496.5,5.31,309.5,8471.4,1,1,8,1,GOOD
2025-10-18T08:11:06,28.64,7.79,687.9,6.32,352.7,5862.9,1,1,8,1,GOOD
2025-10-18T08:11:08,28.78,8.02,530.9,8.13,326.0,7562.5,1,1,8,1,GOOD
2025-10-18T08:11:10,28.76,8.28,599.2,3.83,382.9,6168.7,1,1,8,1,GOOD
2025-10-18T08:11:12,29.08,7.71,520.3,7.59,379.5,8257.1,1,1,8,1,GOOD
2025-10-18T08:11:14,28.95,7.95,511.3,4.84,331.6,9585.7,1,1,8,1,GOOD
2025-10-18T08:11:16,29.14,7.74,619.4,5.84,322.9,8917.5,1,1,8,1,GOOD
2025-10-18T08:11:18,29.41,8.14,549.6,6.07,363.3,9463.3,1,1,8,1,GOOD
2025-10-18T08:11:20,28.81,7.97,533.6,3.41,382.5,10034.4,1,1,8,1,GOOD
2025-10-18T08:11:22,28.97,8.15,621.7,5.06,364.5,10307.1,1,1,8,1,GOOD
2025-10-18T08:11:24,28.99,8.23,442.8,9.47,353.5,7551.5,1,1,8,1,GOOD
2025-10-18T08:11:26,29.04,7.7,586.8,8.07,409.1,7222.6,1,1,8,1,GOOD
2025-10-18T08:11:28,28.68,7.92,654.9,7.99,328.8,8769.9,1,1,8,1,GOOD
2025-10-18T08:11:30,29.04,8.15,557.9,6.02,334.3,5804.7,1,1,8,1,GOOD
2025-10-18T08:11:32,29.12,8.04,600.3,6.3,293.4,7369.0,1,1,8,1,GOOD
2025-10-18T08:11:34,28.86,7.88,590.3,8.21,425.4,8261.9,1,1,8,1,GOOD
2025-10-18T08:11:36,29.1,7.99,484.9,6.92,352.4,11694.9,1,1,8,1,GOOD
2025-10-18T08:11:38,28.92,8.05,597.9,3.49,395.7,9127.9,1,1,8,1,GOOD
2025-10-18T08:11:40,29.32,7.86,684.2,2.79,373.5,11285.7,1,1,8,1,GOOD
